"Story","Title","Result","Date","Stability","Duration (s)"
"Review AP entries","Edit AP entries","FAILURE","2024-04-19T20:41:49.169+08:00[Asia/Manila]","0.0","67.57"
"Review AP entries","Review voucher AP entries","FAILURE","2024-04-19T20:42:57.457+08:00[Asia/Manila]","0.0","71.21"
"Review AP entries","Search payment","SUCCESS","2024-04-19T20:44:09.391+08:00[Asia/Manila]","0.0","37.67"
"Review AP entries","Reversal of unposted voucher match","FAILURE","2024-04-19T20:44:47.758+08:00[Asia/Manila]","0.0","97.21"
"Review AP entries","Check edit button for voucher entry and redistribute GL","FAILURE","2024-04-19T20:46:25.708+08:00[Asia/Manila]","0.0","64.37"
"Review AP entries","Print payment form","FAILURE","2024-04-19T20:47:30.801+08:00[Asia/Manila]","0.0","64.07"
"Review AP entries","Edit voucher entry line account number","FAILURE","2024-04-19T20:48:35.637+08:00[Asia/Manila]","0.0","69.2"
"Review AP entries","Payment information","SUCCESS","2024-04-19T20:49:45.606+08:00[Asia/Manila]","0.0","87.13"
"Review AP entries","Delete voucher AP entry","FAILURE","2024-04-19T20:51:13.568+08:00[Asia/Manila]","0.0","69.66"
"Review AP entries","Create voucher entry and test filter selection","FAILURE","2024-04-19T20:52:24.007+08:00[Asia/Manila]","0.0","76.29"
"Review AP entries","Create voucher entry review and delete","FAILURE","2024-04-19T20:53:41.035+08:00[Asia/Manila]","0.0","79.15"
"Supplier creation","View a supplier","FAILURE","2024-04-19T20:55:04.232+08:00[Asia/Manila]","0.0","42.65"
"Supplier creation","Edit a supplier","FAILURE","2024-04-19T20:55:47.641+08:00[Asia/Manila]","0.0","37.09"
"Supplier creation","Payment terms update","FAILURE","2024-04-19T20:56:25.576+08:00[Asia/Manila]","0.0","37.92"
"Supplier creation","Search a supplier","FAILURE","2024-04-19T20:57:04.356+08:00[Asia/Manila]","0.0","36.46"
"Supplier creation","Validate or deactivate a supplier","FAILURE","2024-04-19T20:57:41.593+08:00[Asia/Manila]","0.0","41.21"
"Supplier creation","Supplier and supplier master creation","FAILURE","2024-04-19T20:58:23.771+08:00[Asia/Manila]","0.0","38.37"
"Unbilled PO receipts","Close unbilled PO receipt","FAILURE","2024-04-19T20:59:03.247+08:00[Asia/Manila]","0.0","39.61"
"Unbilled PO receipts","Matching receipt","FAILURE","2024-04-19T20:59:43.608+08:00[Asia/Manila]","0.0","53.14"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2024-04-19T21:00:37.51+08:00[Asia/Manila]","0.0","87.07"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2024-04-19T21:02:05.416+08:00[Asia/Manila]","0.0","90.43"
"Unbilled PO receipts","Matching receipt validate","FAILURE","2024-04-19T21:03:36.66+08:00[Asia/Manila]","0.0","87.3"
"Unbilled PO receipts","Unbilled POCUPR simple","ERROR","2024-04-19T21:05:04.694+08:00[Asia/Manila]","0.0","92.77"
"Voucher entries","Release retention full","ERROR","2024-04-19T21:06:39.166+08:00[Asia/Manila]","0.0","145.7"
"Voucher entries","Voucher entry without tax rate","FAILURE","2024-04-19T21:09:05.68+08:00[Asia/Manila]","0.0","72.73"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2024-04-19T21:10:19.161+08:00[Asia/Manila]","0.0","150.85"
"Voucher entries","Voucher entry with single multiple lines","FAILURE","2024-04-19T21:12:50.715+08:00[Asia/Manila]","0.0","68.73"
"Voucher entries","Checking line reference place holder","FAILURE","2024-04-19T21:14:00.235+08:00[Asia/Manila]","0.0","75.21"
"Voucher entries","Search and post PV","ERROR","2024-04-19T21:15:16.177+08:00[Asia/Manila]","0.0","150.82"
"Voucher entries","Voucher entry delete a line","FAILURE","2024-04-19T21:17:47.73+08:00[Asia/Manila]","0.0","64.52"
"Voucher entries","Voucher match with tax","ERROR","2024-04-19T21:18:52.995+08:00[Asia/Manila]","0.0","53.34"
"Voucher entries","Partial voucher match","ERROR","2024-04-19T21:19:47.099+08:00[Asia/Manila]","0.0","149.43"
"Voucher entries","Voucher match with retention","ERROR","2024-04-19T21:22:17.268+08:00[Asia/Manila]","0.0","15.27"
"Voucher entries","Voucher entry import CSV file","ERROR","2024-04-19T21:22:33.31+08:00[Asia/Manila]","0.0","2.93"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2024-04-19T21:22:36.967+08:00[Asia/Manila]","0.0","3.1"
"Voucher entries","Partial voucher match with tax rate","ERROR","2024-04-19T21:22:40.758+08:00[Asia/Manila]","0.0","2.88"
"Voucher entries","Voucher entry multi docs","ERROR","2024-04-19T21:22:44.377+08:00[Asia/Manila]","0.0","3.05"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2024-04-19T21:22:48.133+08:00[Asia/Manila]","0.0","2.9"
"Voucher entries","Simple prepayment","ERROR","2024-04-19T21:22:51.739+08:00[Asia/Manila]","0.0","2.73"
"Voucher entries","Voucher entry proceed to payment","ERROR","2024-04-19T21:22:55.212+08:00[Asia/Manila]","0.0","2.73"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2024-04-19T21:22:58.657+08:00[Asia/Manila]","0.0","2.9"
"Voucher entries","Partial voucher match with retention","ERROR","2024-04-19T21:23:02.281+08:00[Asia/Manila]","0.0","2.77"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2024-04-19T21:23:05.751+08:00[Asia/Manila]","0.0","3.42"
"Voucher entries","Create voucher entry using sustainability accounts","ERROR","2024-04-19T21:23:09.967+08:00[Asia/Manila]","0.0","2.88"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2024-04-19T21:23:13.543+08:00[Asia/Manila]","0.0","2.9"
"Voucher entries","Voucher match with retention and tax","ERROR","2024-04-19T21:23:17.226+08:00[Asia/Manila]","0.0","3.5"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2024-04-19T21:23:21.486+08:00[Asia/Manila]","0.0","2.87"
"Voucher entries","Simple voucher match","ERROR","2024-04-19T21:23:25.07+08:00[Asia/Manila]","0.0","3.04"
"Voucher entries","Release retention partial","ERROR","2024-04-19T21:23:28.852+08:00[Asia/Manila]","0.0","3.4"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2024-04-19T21:23:32.978+08:00[Asia/Manila]","0.0","2.78"
"Voucher entries","Voucher entry with tax rate rounded","ERROR","2024-04-19T21:23:36.465+08:00[Asia/Manila]","0.0","2.98"
"Voucher entries","Voucher matching","ERROR","2024-04-19T21:23:40.179+08:00[Asia/Manila]","0.0","3.0"
"Voucher entries","Voucher entry export CSV file","ERROR","2024-04-19T21:23:43.898+08:00[Asia/Manila]","0.0","2.68"
"Voucher entries","Creating voucher entry","ERROR","2024-04-19T21:23:47.329+08:00[Asia/Manila]","0.0","3.28"
"Voucher entries","Release retention adding a line","ERROR","2024-04-19T21:23:51.387+08:00[Asia/Manila]","0.0","3.2"
"Voucher entries","Voucher match with rounded off tax","ERROR","2024-04-19T21:23:55.328+08:00[Asia/Manila]","0.0","3.08"
"Voucher entries","Voucher entry credit memo","ERROR","2024-04-19T21:23:59.166+08:00[Asia/Manila]","0.0","3.35"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2024-04-19T21:24:03.236+08:00[Asia/Manila]","0.0","3.3"
"Account recon","Refresh accounts","ERROR","2024-04-19T21:24:09.908+08:00[Asia/Manila]","0.0","3.49"
"Annual statistical budget","Create annual statistical entry","ERROR","2024-04-19T21:24:14.251+08:00[Asia/Manila]","0.0","2.56"
"Batch posting","Batch posting voiding process","ERROR","2024-04-19T21:24:17.628+08:00[Asia/Manila]","0.0","3.36"
"Batch posting","Batch posting general ledger entry","ERROR","2024-04-19T21:24:21.762+08:00[Asia/Manila]","0.0","2.91"
"General ledger entries","Create general ledger entry using sustainability accounts","ERROR","2024-04-19T21:24:25.51+08:00[Asia/Manila]","0.0","3.72"
"General ledger entries","Create general ledger entry","ERROR","2024-04-19T21:24:29.961+08:00[Asia/Manila]","0.0","3.3"
"Inquiry and reports","Order inquiry and update","ERROR","2024-04-19T21:24:34.329+08:00[Asia/Manila]","0.0","3.55"
"Internal transfer","Create internal transfer entry","ERROR","2024-04-19T21:24:38.724+08:00[Asia/Manila]","0.0","2.76"
"Monthly statistical entries","Create monthly statistical entry","ERROR","2024-04-19T21:24:42.382+08:00[Asia/Manila]","0.0","2.47"
"Salary advance","Create salary advance entry","ERROR","2024-04-19T21:24:45.64+08:00[Asia/Manila]","0.0","4.32"
"Working advance","Create working advance entry","ERROR","2024-04-19T21:24:51.067+08:00[Asia/Manila]","0.0","5.77"
